Team_Name,Player_Name,Position,Cost
Holy Toledo!,Kerry Carpenter,"LF,RF",8
Holy Toledo!,Lucas Giolito,SP,2
Holy Toledo!,J.D. Martinez,LF,6
Holy Toledo!,Junior Caminero,3B,1
Holy Toledo!,Vaughn Grissom,SS,1
Holy Toledo!,Michael Busch,3B,3
Holy Toledo!,Zack Littell,"SP,RP",2
Holy Toledo!,Reid Detmers,SP,3
Holy Toledo!,Taj Bradley,SP,1
Holy Toledo!,Nelson Velazquez,"LF,RF",1
Holy Toledo!,Cole Ragans,"SP,RP",10
Holy Toledo!,Spencer Torkelson,1B,10
Holy Toledo!,Bryce Harper,1B,19
Holy Toledo!,Tyler Wells,SP,0
Holy Toledo!,Yennier Cano,RP,0
Holy Toledo!,Jordan Hicks,RP,0
Boys of Summer,Kevin Gausman,SP,23
Boys of Summer,Jonah Heim,C,8
Boys of Summer,Xander Bogaerts,SS,28
Boys of Summer,Gleyber Torres,2B,21
Boys of Summer,Raisel Iglesias,RP,17
Boys of Summer,Dylan Cease,SP,17
Boys of Summer,Blake Snell,SP,16
Boys of Summer,Jesús Luzardo,SP,27
Boys of Summer,Andres Munoz,RP,16
Boys of Summer,Nolan Arenado,3B,30
Boys of Summer,Tanner Bibee,SP,28
Boys of Summer,Christian Walker,1B,16
Boys of Summer,Brandon Lowe,2B,4
Boys of Summer,Max Kepler,RF,2
Boys of Summer,Joey Gallo,"1B,LF,CF,RF",1
Boys of Summer,Adam Duvall,"CF,RF",1
Boys of Summer,Sal Frelick,"CF,RF",1
Boys of Summer,Jake McCarthy,"CF,RF",1
Boys of Summer,Bryan De La Cruz,"LF,RF",1
Boys of Summer,Max Meyer,SP,1
Boys of Summer,Nolan Schanuel,1B,1
Boys of Summer,Luis Gil,SP,0
Boys of Summer,Michael Soroka,SP,0
The Revs.,CJ Abrams,SS,24
The Revs.,Ronald Acuna,RF,67
The Revs.,Emmanuel Clase,RP,21
The Revs.,Sean Murphy,C,10
The Revs.,Kenley Jansen,RP,11
The Revs.,Cedric Mullins,CF,12
The Revs.,Kyle Bradish,SP,13
The Revs.,Jorge Soler,RF,11
The Revs.,Jonathan India,2B,8
The Revs.,Daulton Varsho,"LF,CF",7
The Revs.,Keibert Ruiz,C,5
The Revs.,Mitch Garver,C,4
The Revs.,Charlie Morton,SP,5
The Revs.,Jose Siri,CF,4
The Revs.,Ryan McMahon,"2B,3B",4
The Revs.,Alex Lange,RP,5
The Revs.,Josh Bell,1B,2
The Revs.,Austin Hays,"LF,CF",2
The Revs.,Max Scherzer,SP,2
The Revs.,Logan Allen,SP,1
The Revs.,Colt Keith,"2B,3B",1
Kirby Puckett,Corbin Burnes,SP,34
Kirby Puckett,Zack Wheeler,SP,33
Kirby Puckett,Marcus Semien,2B,33
Kirby Puckett,Joe Ryan,SP,22
Kirby Puckett,Zac Gallen,SP,28
Kirby Puckett,Jhoan Duran,RP,22
