full_name,eligible_positions,IDfg
Keaton Winn,SP,23499
Jorge López,RP,14527
Anthony DeSclafani,SP,13050
Steven Matz,"SP,RP",13361
Ray Kerr,RP,23809
Penn Murfee,RP,25174
Andrew Saalfrank,RP,26203
Chad Green,RP,15552
Tanner Banks,RP,16990
Taijuan Walker,SP,11836
Garrett Cleavinger,RP,17897
Adam Kolarek,RP,10843
José Quintana,SP,11423
Zack Weiss,RP,15444
Gavin Williams,SP,30122
Bruce Zimmermann,RP,20370
Sawyer Gipson-Long,SP,26048
Clarke Schmidt,SP,19899
Cody Bradford,"SP,RP",27597
Zach Jackson,RP,19493
John McMillon,RP,27942
Bryce Jarvis,RP,27477
Angel Zerpa,RP,22717
Austin Adams,RP,13801
Nestor Cortes,SP,17874
Adrian Houser,SP,12718
José Quijada,RP,19200
Joey Lucchesi,SP,19320
Jose A. Ferrer,RP,24017
Germán Márquez,SP,15038
Grant Hartwig,RP,29946
Brendan White,RP,26024
Tejay Antone,P,16233
Bennett Sousa,RP,21345
Hayden Wesneski,"SP,RP",27581
Logan Allen,SP,27589
Connor Brogdon,RP,21205
Jake Latz,RP,21306
Taylor Clarke,RP,17611
Alek Jacob,RP,29628
Luis Garcia,SP,1004504
Luke Little,RP,28036
Kyle Harrison,SP,27758
Phil Bickford,RP,18519
Sean Reid-Foley,RP,17034
Darius Vines,P,25928
Chase Silseth,"SP,RP",30074
Emmet Sheehan,SP,29839
Nick Vespi,RP,21093
Aaron Bummer,RP,16258
Kyle Hurt,RP,27514
Jordan Wicks,SP,30094
Nick Nelson,RP,20153
Zack Thompson,"SP,RP",25918
Eduard Bazardo,RP,20997
Lucas Erceg,RP,19360
Yoendrys Gómez,RP,22872
Jonathan Hernández,RP,17464
Thyago Vieira,RP,14510
Mason Miller,SP,31757
Daniel Duarte,RP,17480
Trevor Rogers,SP,22286
Sean Newcomb,RP,16943
Slade Cecconi,SP,27500
Brandon Williamson,SP,25463
Kris Bubic,SP,21455
Cole Irvin,"SP,RP",19244
J.B. Bukauskas,RP,20491
Mason Thompson,RP,21850
Orion Kerkering,RP,31776
Angel Felipe,RP,21163
Greg Weissert,RP,20375
Luis F. Ortiz,RP,16942
Austin Warren,RP,24937
Randy Vásquez,"SP,RP",24719
Chris Paddack,RP,20099
Reid Detmers,SP,27468
Guillermo Zuñiga,RP,19588
Jacob Lopez,P,25098
Drey Jameson,RP,26260
Michael Kelly,RP,12791
Zach Pop,RP,20185
Matt Gage,RP,17381
Andre Pallante,RP,26108
Pedro Avila,"SP,RP",18864
MacKenzie Gore,SP,22201
Yohan Ramirez,RP,19444
Oliver Ortega,RP,21025
Frankie Montas,RP,14309
Grant Anderson,RP,20546
Jonathan Bowlan,P,24607
Hagen Danner,RP,22116
Dylan Cease,SP,18525
Andrew Bellatti,RP,10657
Xzavion Curry,"SP,RP",25595
George Soriano,RP,21863
Tyler Kinley,RP,18297
Josh Winder,RP,24606
Hunter Greene,SP,22182
AJ Smith-Shawver,SP,29960
Prelander Berroa,RP,22932
Parker Mushinski,RP,21324
Tanner Rainey,RP,17610
Sammy Peralta,RP,25589
Michael Rucker,RP,19454
Tony Gonsolin,SP,19388
Andre Jackson,"SP,RP",21298
Jackson Wolf,SP,29832
Seth Martinez,RP,21045
Anthony Veneziano,RP,27453
Matt Waldron,SP,25550
Brent Headrick,RP,27702
Antonio Senzatela,SP,15488
Daniel Lynch IV,SP,21537
Jonathan Heasley,RP,22224
Jackson Stephens,RP,14420
Tim Herrin,RP,25139
Davis Daniel,RP,27582
Allan Winans,SP,21238
Mauricio Llovera,RP,20080
Janson Junk,P,23301
Keegan Akin,RP,19362
Keegan Thompson,RP,19795
Darren McCaughan,RP,20038
Yunior Marte,RP,14416
Joe Jacques,RP,25178
Ben Joyce,RP,31461
Drew Smyly,"SP,RP",11760
Sam Bachman,RP,29754
Luis Frías,RP,21997
Daysbel Hernández,RP,20271
Tim Hill,RP,16814
Emerson Hancock,SP,27470
Nick Mears,RP,25376
Ranger Suárez,SP,17277
Josh Staumont,RP,18335
Kelvin Caceres,RP,24681
Francisco Pérez,RP,21018
Carlos Vargas,RP,22915
Lane Ramsey,RP,25071
Kaleb Ort,RP,20061
Jimmy Lambert,RP,19541
Dylan Covey,RP,14825
Chris Murphy,RP,26214
Austin Voth,RP,15047
Deivi García,RP,20276
Hunter Gaddis,SP,25636
Kenny Rosenberg,SP,20009
Martín Pérez,"SP,RP",6902
José Butto,SP,23313
Jordan Balazovic,RP,21866
Gavin Hollowell,RP,25427
Shawn Dubin,P,24977
Joey Estes,SP,26257
Cole Sands,RP,21461
Johan Oviedo,SP,22487
Owen White,RP,22273
Logan Gillaspie,RP,22461
Josh Walker,RP,23617
Victor Vodnik,RP,24614
Tommy Henry,SP,26285
Zack Kelly,RP,20349
Victor Mederos,RP,31533
Riley Pint,RP,21858
Jorge Alcala,RP,19459
Reed Garrett,RP,16866
Kolby Allard,SP,18694
Graham Ashcraft,SP,27552
Lance Lynn,SP,2520
Jalen Beeks,"SP,RP",17192
Mason Englert,RP,22288
Ethan Small,RP,26364
Alex Speas,RP,21859
Bryan Hudson,RP,19924
Cody Morris,RP,25388
Freddy Tarnok,P,23324
Simeon Woods Richardson,RP,24494
Nick Robertson,RP,26226
Kyle Nicolas,RP,27775
Adam Cimber,RP,15288
Joel Kuhnel,RP,19995
Josh Taylor,RP,17359
Steven Cruz,"SP,RP",23165
Kolton Ingram,RP,26068
Taj Bradley,SP,22543
Max Castillo,RP,21956
Tanner Houck,SP,19879
Casey Legumina,RP,25921
Ben Lively,"SP,RP",14932
Mitch White,RP,19225
Robbie Ray,SP,11486
Adrian Morejon,RP,20039
Ross Stripling,"SP,RP",13273
Adrián Martínez,RP,21023
Yerry Rodríguez,RP,21955
Jackson Rutledge,SP,26215
Garrett Crochet,RP,27463
Marco Gonzales,SP,15467
Declan Cronin,RP,25645
Devin Sweet,RP,25348
Collin Snider,RP,23307
Ronel Blanco,"SP,RP",19407
Nick Lodolo,SP,26378
Bryan Hoeing,"SP,RP",26304
Connor Phillips,SP,27649
Michael Soroka,SP,18383
Triston McKenzie,SP,18000
Josiah Gray,SP,24580
Glenn Otto,RP,21366
Carson Spiers,P,27685
Luis Patiño,RP,22815
Cooper Criswell,RP,24975
Peter Lambert,"SP,RP",17969
Calvin Faucher,"SP,RP",20116
Brandon Pfaadt,SP,27782
Brandon Walter,RP,26056
McKinley Moore,RP,25663
Jeremiah Estrada,RP,22210
Clayton Andrews,RP,1000247
Edward Cabrera,SP,21690
Caleb Kilian,P,26213
Bailey Falter,SP,20070
Sean Hjelle,RP,21481
Shintaro Fujinami,"SP,RP",31839
Matthew Liberatore,"SP,RP",22294
Michael Grove,"SP,RP",23221
Alex Wood,"SP,RP",13781
Wes Parsons,SP,14764
Brandon Bielak,SP,19866
Daniel Bard,RP,7115
Evan Justice,RP,30008
Paul Blackburn,SP,14739
Colin Selby,"SP,RP",24986
José Urquidy,"SP,RP",18413
Amos Willingham,RP,26128
Osvaldo Bido,"SP,RP",23150
Zach Plesac,SP,19979
Levi Stoudt,P,25650
Cody Bolton,RP,23265
Dylan Coleman,RP,22276
Matt Krook,RP,19315
Jackson Kowar,RP,21549
Justin Martinez,RP,24453
Gus Varland,RP,24737
Brady Singer,SP,25377
Jake Irvin,SP,21504
Dakota Hudson,"SP,RP",19206
Patrick Sandoval,SP,19447
Ryne Nelson,SP,26253
David Peterson,"SP,RP",20302
James Naile,RP,18186
Kyle Freeland,SP,16256
Carlos Rodón,SP,16137
