full_name,display_position
Hayden Birdsong,SP
Jeter Martinez,SP
Jimmy Joyce,SP
Aidan Curry,SP
Winston Santos,SP
Kendry Rojas,SP
Shota Imanaga,SP
Ian Anderson,SP
Jay Groome,SP
Forrest Whitley,SP
Walker Buehler,SP
Bryan Mata,SP
Brendon Little,RP
Cade Smith,RP
Anthony Molina,SP
Parker Messick,SP
Landon Sims,SP
Owen Murphy,SP
JR Ritchie,SP
Cole Phillips,SP
Adam Maier,P
Seth Keller,P
Sixto Sánchez,SP
Shane Baz,SP
Carter Baumler,SP
Luis Perales,SP
Shane Drohan,SP
Cade Horton,SP
Jackson Ferris,SP
Porter Hodge,"SP,RP"
Drew Gray,SP
Justin Campbell,P
Gabriel Hughes,SP
Jackson Cox,SP
Carson Palmquist,SP
Noah Schultz,SP
Peyton Pallette,SP
Cristian Mena,SP
Jonathan Cannon,SP
Tyler Schweitzer,SP
Wilmer Flores,SP
Troy Melton,SP
Brant Hurter,SP
Tyler Mattison,RP
Spencer Arrighetti,SP
Andrew Taylor,SP
Misael Tamarez,SP
Miguel Ullola,SP
Colton Gordon,SP
Alimber Santa,SP
Michael Knorr,SP
Mason Barnett,SP
Chandler Champlain,SP
Noah Cameron,SP
Jake Madden,SP
Caden Dana,SP
Walbert Urena,SP
Ryan Costeiu,RP
Nick Nastrini,SP
Ronan Kopp,SP
Casey Mize,SP
Nick Frasso,SP
Peter Heubeck,SP
Jacob Misiorowski,SP
Carlos Rodriguez,SP
Logan Henderson,SP
Connor Prielipp,SP
Marco Raya,SP
David Festa,SP
Blade Tidwell,SP
Mike Vasil,SP
Joel Diaz,SP
Luis Rodriguez,SP
Christian Scott,P
Will Warren,SP
Drew Thorpe,SP
Edgar Barclay,RP
Richard Fitts,SP
Carson Coleman,RP
Royber Salinas,SP
Alex McFarlane,SP
Christian McGowan,SP
Micah Ottenbreit,SP
Tommy McCollum,RP
Thomas Harrington,SP
Hunter Barco,SP
Michael Kennedy,SP
Dylan Lesko,SP
Robby Snelling,SP
Adam Mazur,SP
Henry Williams,SP
Huascar Ynoa,SP
Jairo Iriarte,SP
Garrett Hawkins,SP
Ryan Bergert,SP
Jagger Haynes,SP
Taylor Dollard,SP
JT Brubaker,SP
Carson Whisenhunt,SP
Reggie Crawford,SP
Eric Silva,SP
Trevor McDonald,SP
Carson Seymour,SP
Gordon Graceffo,SP
Cooper Hjerpe,SP
Brycen Mautz,SP
Pete Hansen,SP
Max Rajcic,SP
Mason Montgomery,SP
Ian Seymour,SP
Marcus Johnson,SP
Trevor Martin,SP
Brock Porter,SP
Kumar Rocker,SP
Tekoah Roby,SP
Mitch Bratt,SP
Emiliano Teodo,SP
Marc Church,RP
Josh Stephan,SP
Brandon Barriera,SP
Hayden Juenger,SP
Dahian Santos,SP
Jarlin Susana,SP
Zach Brzykcy,RP
Corbin Martin,"SP,RP"
Santiago Suarez,SP
Matt Sauer,SP
Braxton Ashcraft,SP
Jake Bennett,SP
Yu-Min Lin,SP
Cole Winn,"SP,RP"
Dylan Ray,SP
Adam Kloffenstein,SP
Yilber Diaz,SP
Walter Ford,SP
Ashton Izzi,SP
Griff McGarry,SP
Andrew Painter,SP
Marcelo Perez,SP
Aaron Ashby,SP
Stephen Kolek,SP
Mason Black,SP
Gerelmi Maldonado,SP
Landen Roupp,SP
Jacob Miller,SP
Karson Milbrandt,SP
Cade Povich,SP
Justin Armbruester,SP
Trace Bright,SP
Michael Mercado,"SP,RP"
Jun-Seok Shim,P
David Sandlin,SP
Matt Foster,RP
Luis Gil,SP
Manuel Rodríguez,RP
J.P. Feyereisen,RP
Blake Walston,SP
Kohl Franklin,SP
Ryan Jensen,"SP,RP"
Daniel Espino,SP
Jared Jones,SP
Jack Kochanowicz,SP
Antoine Kelly,SP
Matt Canterino,SP
Erik Miller,RP
Joey Cantillo,SP
Seth Johnson,SP
Riley O'Brien,P
Andry Lara,SP
Matthew Thompson,SP
Max Kranick,SP
Tyler Baum,RP
Cole Wilcox,SP
Cade Cavalli,SP
Clayton Beeter,SP
Max Meyer,SP
Landon Knack,SP
Jake Brentz,RP
Ricky Vanasco,"SP,RP"
Lucas Gilbreath,RP
Christian Roa,SP
Tanner Burns,SP
Dax Fulton,SP
Mick Abel,SP
Justin Lange,SP
Bailey Horn,RP
Tink Hence,SP
Cole Henry,SP
Anthony Bender,RP
Cody Poteet,RP
Mitch Spence,SP
Scott Effross,RP
Naoyuki Uwasawa,P
Yariel Rodriguez,P
Liam Hendriks,RP
Daniel Hudson,RP
Dinelson Lamet,"SP,RP"
Michael Lorenzen (Pitcher),"SP,RP"
Scott Alexander,"SP,RP"
Spencer Turnbull,SP
Ryne Stanek,RP
Dominic Leone,RP
Corey Knebel,RP
Juan Then,RP
Josh Fleming,"SP,RP"
